"lat","lon","year","country","index","ea_id"
-0.292248010635376,31.4787216186523,2005,"ug",0.0454048842037795,"1110003"
-0.292248010635376,31.4787216186523,2009,"ug",-0.333649967391072,"1110003"
-0.292248010635376,31.4787216186523,2013,"ug",-0.386530845806121,"1110003"
-0.43911999464035,31.711950302124,2005,"ug",0.310049368250008,"0"
-0.43911999464035,31.711950302124,2009,"ug",0.0855893942659672,"0"
-0.43911999464035,31.711950302124,2013,"ug",0.317944015211452,"0"
-0.503360986709595,31.6160697937012,2005,"ug",0.579641210228218,"1100012"
-0.503360986709595,31.6160697937012,2009,"ug",0.0654102607324972,"1100012"
-0.503360986709595,31.6160697937012,2013,"ug",0.291546819708917,"1100012"
-0.508831024169922,31.3332862854004,2005,"ug",-0.27141648594337,"1100009"
-0.508831024169922,31.3332862854004,2009,"ug",-0.53170860026975,"1100009"
-0.508831024169922,31.3332862854004,2013,"ug",-0.447883298622792,"1100009"
-0.518612027168274,31.1944370269775,2005,"ug",0.13568240691831,"1100007"
-0.518612027168274,31.1944370269775,2009,"ug",-0.231327748357612,"1100007"
-0.518612027168274,31.1944370269775,2013,"ug",-0.078402283539526,"1100007"
-0.530628025531769,32.3274917602539,2005,"ug",-0.473311027132489,"1010002"
-0.530628025531769,32.3274917602539,2009,"ug",-0.352468163154096,"1010002"
-0.530628025531769,32.3274917602539,2013,"ug",-0.253744638007218,"1010002"
-0.549796998500824,30.0675201416016,2005,"ug",0.068081301134696,"4020016"
-0.549796998500824,30.0675201416016,2009,"ug",-0.194535151975818,"4020016"
-0.549796998500824,30.0675201416016,2013,"ug",0.0555903813278262,"4020016"
-0.553772985935211,30.3036918640137,2005,"ug",0.764526698731148,"4020020"
-0.553772985935211,30.3036918640137,2009,"ug",0.650726979119811,"4020020"
-0.553772985935211,30.3036918640137,2013,"ug",0.637924906097759,"4020020"
-0.560572028160095,30.6788005828857,2005,"ug",0.448423886682158,"4100026"
-0.560572028160095,30.6788005828857,2009,"ug",0.260363148142132,"4100026"
-0.560572028160095,30.6788005828857,2013,"ug",0.838874492443332,"4100026"
-0.576781988143921,31.6916370391846,2005,"ug",-0.226445932737055,"1050023"
-0.576781988143921,31.6916370391846,2009,"ug",-0.109998560263654,"1050023"
-0.576781988143921,31.6916370391846,2013,"ug",0.0203815362011825,"1050023"
-0.608761012554169,30.6722297668457,2005,"ug",1.41861286954896,"4100001"
-0.608761012554169,30.6722297668457,2009,"ug",1.06019538808461,"4100001"
-0.608761012554169,30.6722297668457,2013,"ug",1.0720100801573,"4100001"
