country,year,lat,lon,wealthpooled,households,urban_rural
angola,2011,-12.350257,13.534922,2.5956175327301,36,1
angola,2011,-12.360865,13.551494,2.20962047576904,32,1
angola,2011,-12.613421,13.413085,0.906468868255615,36,1
angola,2011,-12.581454,13.397711,1.1053591966629,35,1
angola,2011,-12.578135,13.418748,1.87934386730194,37,1
angola,2011,-12.575305,13.408575,1.74931740760803,27,1
angola,2011,-11.188879,13.838995,0.182361423969269,33,1
angola,2011,-11.20005,13.832946,0.691215991973877,30,1
angola,2011,-8.593237,13.643248,0.527797996997833,36,1
angola,2011,-8.583901,13.664315,0.891160488128662,35,1
angola,2011,-12.752814,15.742476,0.936776995658875,33,1
angola,2011,-12.782553,15.7543,-0.0526521876454353,34,1
angola,2011,-12.600115,13.200098,-0.073469914495945,36,0
angola,2011,-12.594752,13.202681,0.721672713756561,37,0
angola,2011,-12.426923,13.554357,-0.117268577218056,36,0
angola,2011,-12.426737,13.558511,0.381618529558182,37,0
angola,2011,-13.434386,14.269446,-1.14221024513245,37,0
angola,2011,-13.465144,14.278094,-0.85293048620224,37,0
angola,2011,-12.34475,14.773096,-0.463503241539001,37,1
angola,2011,-12.371371,14.753342,-1.05712330341339,37,0
angola,2011,-10.871302,14.353967,-1.06337440013885,37,0
angola,2011,-10.858034,14.35882,0.409533500671387,37,0
angola,2011,-10.419603,13.970724,-0.906610667705536,33,0
angola,2011,-10.390981,13.984454,-1.17829394340515,23,0
angola,2011,-11.537386,14.726956,-1.04396414756775,28,0
angola,2011,-11.517536,14.75472,-1.1313544511795,26,0
angola,2011,-9.096796,13.6464,0.152510479092598,37,0
angola,2011,-9.172912,13.648187,-0.813847541809082,33,0
angola,2011,-8.159112,14.469092,-0.430856823921204,37,0
angola,2011,-8.159944,14.460016,-0.249424755573273,37,0
angola,2011,-6.013011,14.173505,-0.837387084960938,36,0
angola,2011,-5.869627,14.099057,-0.932220935821533,17,0
angola,2011,-5.872087,13.439567,-0.943604350090027,37,0
angola,2011,-5.897936,13.408697,-1.14929592609406,37,0
angola,2011,-12.106623,16.69557,-1.04850649833679,25,0
angola,2011,-12.186224,16.745166,-0.829582512378693,35,0
angola,2011,-11.383436,16.205631,-0.623327672481537,37,0
angola,2011,-11.342776,16.201752,-0.948899269104004,31,0
angola,2011,-12.216219,17.517328,-0.951153218746185,33,0
angola,2011,-12.170704,17.546887,-1.06607961654663,31,0
angola,2011,-12.13176,17.923544,-1.24290645122528,32,0
angola,2011,-13.913492,17.286135,-1.22812163829803,36,0
angola,2011,-13.751458,17.183673,-1.16334104537964,34,0
angola,2011,-12.91732,15.720189,0.902192950248718,32,0
angola,2011,-12.747986,15.767361,0.209765985608101,30,0
angola,2011,-12.79096,15.743495,-0.164373964071274,26,0
angola,2011,-12.875445,15.760207,-0.212368860840797,35,0
angola,2011,-12.743259,15.761831,0.206417515873909,37,0
angola,2011,-12.772853,15.756213,0.29319104552269,34,0
angola,2011,-12.984558,15.943458,-0.0407793372869492,36,0
angola,2011,-12.73975,15.662196,-0.367856502532959,35,0
angola,2011,-12.537665,16.250486,-0.818283557891846,35,0
angola,2011,-12.565216,16.261759,-0.871328175067902,34,0
angola,2011,-13.43746,15.412271,-0.835232496261597,37,0
angola,2011,-13.530546,15.460572,-0.909515857696533,12,0
angola,2011,-11.971578,16.488123,-0.80119651556015,36,0
angola,2011,-5.564471,12.20079,1.03297924995422,32,1
angola,2011,-5.57374,12.192002,1.30253994464874,31,1
angola,2011,-9.527211,16.338669,0.643735647201538,37,1
angola,2011,-9.542977,16.318552,1.17173480987549,37,1
angola,2011,-9.692947,14.432255,0.945922434329987,37,1
angola,2011,-9.68139,14.435284,0.211902379989624,36,1
angola,2011,-7.61528,15.052982,1.83545529842377,34,1
angola,2011,-7.619236,15.061034,1.37665677070618,37,1
angola,2011,-7.768684,15.252056,1.06142520904541,37,1
angola,2011,-7.774466,15.251551,0.656859934329987,37,1
angola,2011,-4.593331,12.862203,0.0344385989010334,34,0
angola,2011,-4.465606,12.862364,-0.622969925403595,11,0
angola,2011,-9.598896,21.581054,-1.2406439781189,36,0
angola,2011,-9.055912,21.48238,-1.21234536170959,24,0
angola,2011,-10.556164,22.039559,-1.12801134586334,37,0
angola,2011,-10.559984,22.166975,-1.03623521327972,37,0
angola,2011,-11.210758,19.821867,-1.23323953151703,37,0
angola,2011,-11.150213,19.794632,-1.25253260135651,28,0
angola,2011,-7.695138,21.382575,-1.01315188407898,37,0
angola,2011,-7.728569,21.314003,-0.952350854873657,37,0
angola,2011,-7.36819,20.809591,-0.157152786850929,37,0
angola,2011,-7.384159,20.796074,-0.794834494590759,37,0
angola,2011,-9.761993,19.65721,-1.03277003765106,36,0
angola,2011,-9.726207,19.631708,-1.12079250812531,36,0
angola,2011,-9.500242,17.465337,-0.955533027648926,37,0
angola,2011,-9.498591,17.830035,-1.14300203323364,37,0
angola,2011,-9.568134,16.201997,-0.722014427185059,36,0
angola,2011,-9.661635,16.297115,-1.06794846057892,37,0
angola,2011,-9.469572,16.157832,-1.02397954463959,29,0
angola,2011,-9.445209,16.151481,-0.958844065666199,21,0
angola,2011,-8.354865,16.118953,-0.677431762218475,24,0
angola,2011,-8.378798,16.116516,-1.18170702457428,21,0
angola,2011,-8.809969,16.79541,0.409049183130264,34,0
angola,2011,-8.821804,16.767913,-0.8000448346138,37,0
angola,2011,-8.495734,16.404243,-1.13720452785492,29,0
angola,2011,-8.52078,16.361114,-0.920501232147217,24,0
angola,2011,-10.972333,17.549232,-0.858869731426239,36,0
angola,2011,-10.999863,17.564071,-0.577543020248413,31,0
angola,2011,-9.478349,16.860985,-0.810440599918365,33,0
angola,2011,-9.481052,16.859833,-0.934135735034943,33,0
angola,2011,-9.271637,15.235037,-1.01384294033051,34,0
angola,2011,-9.253066,15.241698,-1.09577298164368,28,1
angola,2011,-8.177555,15.379147,-0.666117131710052,37,0
angola,2011,-8.205036,15.397273,-0.983263194561005,35,0
angola,2011,-8.896356,15.599051,-1.12501680850983,35,0
angola,2011,-8.989537,15.580459,-0.752867877483368,25,0
angola,2011,-7.790408,15.392677,-1.02324163913727,37,0
angola,2011,-8.02952,15.575171,-0.882599413394928,31,0
